timestamp,open,high,low,close,volume,symbol
2026-07-10 09:30:00-04:00,314.7200012207031,315.010009765625,313.80999755859375,313.9599914550781,1081777,AAPL
2026-07-10 09:30:00-04:00,249.63999938964844,251.00999450683594,249.63999938964844,250.8717041015625,1728667,AMZN
2026-07-10 09:30:00-04:00,354.9540100097656,355.2694091796875,352.0299987792969,353.80999755859375,621727,GOOG
2026-07-10 09:30:00-04:00,260.19000244140625,261.29998779296875,259.75750732421875,259.75750732421875,182931,JNJ
2026-07-10 09:30:00-04:00,337.4700012207031,338.5859069824219,336.29998779296875,337.2699890136719,126804,JPM
2026-07-10 09:30:00-04:00,660.3350219726562,664.9500122070312,658.010009765625,663.4998779296875,3589644,META
2026-07-10 09:30:00-04:00,387.79998779296875,388.3800048828125,386.5199890136719,387.625,1213067,MSFT
2026-07-10 09:30:00-04:00,201.9199981689453,203.75999450683594,201.9199981689453,203.5601043701172,3548542,NVDA
2026-07-10 09:30:00-04:00,410.489990234375,412.2900085449219,408.79998779296875,408.8951110839844,1279403,TSLA
2026-07-10 09:30:00-04:00,350.6300048828125,351.1700134277344,349.0000915527344,349.20001220703125,159029,V
2026-07-10 09:31:00-04:00,313.9100036621094,314.0801086425781,313.2099914550781,313.6600036621094,201230,AAPL
2026-07-10 09:31:00-04:00,250.97999572753906,251.02999877929688,249.49000549316406,250.36000061035156,372219,AMZN
2026-07-10 09:31:00-04:00,353.69000244140625,353.9599914550781,352.6300048828125,352.67999267578125,87612,GOOG
2026-07-10 09:31:00-04:00,259.9200134277344,260.4100036621094,258.885009765625,258.885009765625,22291,JNJ
2026-07-10 09:31:00-04:00,336.93499755859375,338.2699890136719,336.93499755859375,338.0150146484375,16701,JPM
2026-07-10 09:31:00-04:00,663.0,672.0999755859375,662.22998046875,669.330078125,822442,META
2026-07-10 09:31:00-04:00,387.625,388.3800048828125,386.3550109863281,388.29998779296875,105262,MSFT
2026-07-10 09:31:00-04:00,203.57000732421875,203.97999572753906,203.0500030517578,203.5,586932,NVDA
2026-07-10 09:31:00-04:00,408.9649963378906,409.3200988769531,407.04998779296875,409.0899963378906,233634,TSLA
2026-07-10 09:31:00-04:00,349.0400085449219,349.2300109863281,347.7300109863281,348.0799865722656,15990,V
2026-07-10 09:32:00-04:00,313.7200012207031,313.83990478515625,313.4200134277344,313.6706848144531,151434,AAPL
2026-07-10 09:32:00-04:00,250.31500244140625,250.72999572753906,250.0885009765625,250.44500732421875,178224,AMZN
2026-07-10 09:32:00-04:00,352.614990234375,353.3800048828125,352.0,353.3399963378906,68664,GOOG
2026-07-10 09:32:00-04:00,259.0799865722656,259.43719482421875,258.1700134277344,258.5799865722656,32615,JNJ
2026-07-10 09:32:00-04:00,338.0199890136719,338.0199890136719,336.8500061035156,337.6000061035156,15054,JPM
2026-07-10 09:32:00-04:00,669.7100219726562,677.0800170898438,666.3701171875,676.77001953125,687913,META
2026-07-10 09:32:00-04:00,388.29998779296875,389.9800109863281,388.20001220703125,389.864990234375,189494,MSFT
2026-07-10 09:32:00-04:00,203.52999877929688,204.30999755859375,203.4499969482422,204.06919860839844,603124,NVDA
2026-07-10 09:32:00-04:00,409.17919921875,410.8092956542969,407.8900146484375,410.8092956542969,189748,TSLA
2026-07-10 09:32:00-04:00,348.29998779296875,348.29998779296875,347.30999755859375,347.3500061035156,23279,V
2026-07-10 09:33:00-04:00,313.6400146484375,314.7900085449219,313.6199951171875,314.7149963378906,180497,AAPL
2026-07-10 09:33:00-04:00,250.39999389648438,251.0,249.49000549316406,249.8300018310547,213006,AMZN
2026-07-10 09:33:00-04:00,353.3349914550781,354.25,353.18560791015625,354.25,75096,GOOG
2026-07-10 09:33:00-04:00,258.5950012207031,258.5950012207031,257.7799987792969,258.1499938964844,11745,JNJ
2026-07-10 09:33:00-04:00,337.6000061035156,337.8399963378906,336.9750061035156,337.25,13316,JPM
2026-07-10 09:33:00-04:00,676.77001953125,677.0,672.6500244140625,673.2150268554688,580742,META
2026-07-10 09:33:00-04:00,389.864990234375,390.1099853515625,388.8949890136719,388.8949890136719,219102,MSFT
2026-07-10 09:33:00-04:00,204.08999633789062,204.17999267578125,203.4600067138672,204.11000061035156,481278,NVDA
2026-07-10 09:33:00-04:00,410.7550048828125,412.57989501953125,410.4059143066406,412.5199890136719,313673,TSLA
2026-07-10 09:33:00-04:00,347.5,348.71990966796875,347.44000244140625,347.55999755859375,19015,V
2026-07-10 09:34:00-04:00,314.69000244140625,315.5400085449219,314.4200134277344,315.4800109863281,192330,AAPL
2026-07-10 09:34:00-04:00,249.7949981689453,249.80999755859375,248.85000610351562,249.07000732421875,195001,AMZN
2026-07-10 09:34:00-04:00,354.1700134277344,354.4599914550781,353.93499755859375,354.42999267578125,42847,GOOG
2026-07-10 09:34:00-04:00,258.0783996582031,258.5799865722656,257.82000732421875,258.1820983886719,22061,JNJ
2026-07-10 09:34:00-04:00,337.3599853515625,337.5400085449219,337.125,337.5400085449219,11510,JPM
2026-07-10 09:34:00-04:00,673.2150268554688,673.4194946289062,670.280029296875,671.0278930664062,455120,META
2026-07-10 09:34:00-04:00,388.9100036621094,389.70001220703125,388.5299987792969,389.5400085449219,106333,MSFT
2026-07-10 09:34:00-04:00,204.07000732421875,204.39999389648438,203.82000732421875,204.14500427246094,459684,NVDA
2026-07-10 09:34:00-04:00,412.57989501953125,412.5799865722656,410.5,410.72601318359375,187282,TSLA
2026-07-10 09:34:00-04:00,347.32000732421875,347.8450012207031,347.1300048828125,347.57501220703125,18439,V
2026-07-10 09:35:00-04:00,315.42999267578125,316.3900146484375,315.3699951171875,316.1200866699219,257228,AAPL
2026-07-10 09:35:00-04:00,249.01499938964844,249.33999633789062,248.38670349121094,248.47999572753906,192956,AMZN
2026-07-10 09:35:00-04:00,354.42999267578125,354.6099853515625,353.67999267578125,354.3599853515625,42157,GOOG
2026-07-10 09:35:00-04:00,258.1820068359375,258.385009765625,257.7732849121094,258.17999267578125,12289,JNJ
2026-07-10 09:35:00-04:00,337.5,337.94000244140625,337.25,337.6300048828125,18928,JPM
2026-07-10 09:35:00-04:00,670.860107421875,671.3200073242188,668.630126953125,669.260009765625,385234,META
2026-07-10 09:35:00-04:00,389.4620056152344,390.2900085449219,389.1600036621094,389.8299865722656,159427,MSFT
2026-07-10 09:35:00-04:00,204.11000061035156,204.97000122070312,203.94000244140625,204.69500732421875,642681,NVDA
2026-07-10 09:35:00-04:00,410.8500061035156,412.0199890136719,410.70001220703125,411.3349914550781,194516,TSLA
2026-07-10 09:35:00-04:00,347.57501220703125,348.1499938964844,347.0799865722656,347.875,40251,V
2026-07-10 09:36:00-04:00,316.2008972167969,316.3695068359375,315.70001220703125,316.0799865722656,151663,AAPL
2026-07-10 09:36:00-04:00,248.42999267578125,249.14999389648438,248.22999572753906,248.69000244140625,144447,AMZN
2026-07-10 09:36:00-04:00,354.4700012207031,354.9894104003906,354.2300109863281,354.2300109863281,45305,GOOG
2026-07-10 09:36:00-04:00,258.4798889160156,258.5400085449219,258.17498779296875,258.17498779296875,3178,JNJ
2026-07-10 09:36:00-04:00,337.614990234375,338.2699890136719,337.6099853515625,337.6199951171875,14766,JPM
2026-07-10 09:36:00-04:00,669.3200073242188,669.3599853515625,666.2100219726562,667.6300048828125,363698,META
2026-07-10 09:36:00-04:00,389.8041076660156,391.0,389.4849853515625,390.6000061035156,214615,MSFT
2026-07-10 09:36:00-04:00,204.68800354003906,204.75999450683594,203.82000732421875,204.7100067138672,505263,NVDA
2026-07-10 09:36:00-04:00,411.31500244140625,411.6000061035156,409.0199890136719,410.1700134277344,166158,TSLA
2026-07-10 09:36:00-04:00,347.8800048828125,348.56500244140625,347.6400146484375,347.6499938964844,26959,V
2026-07-10 09:37:00-04:00,316.07000732421875,316.2659912109375,315.67999267578125,315.7699890136719,154807,AAPL
2026-07-10 09:37:00-04:00,248.75,249.0500030517578,248.5850067138672,248.85499572753906,84211,AMZN
